用户id,最后一周登录天数,最后一周登录次数,最后一周0.8点登录次数,最后一周8.18点登录次数,最后一周18.24点登录次数,注册至今距离天数,是否付费
1000119195,5,10,1,6,3,19,0
1000119196,1,16,7,6,3,24,0
1000119197,5,13,4,5,4,14,0
1000119198,5,18,8,2,8,7,0
1000119199,3,11,5,3,3,6,0
1000119200,2,16,6,3,7,28,0
1000119201,6,9,1,4,4,23,0
1000119202,4,19,3,7,9,20,0
1000119203,2,12,7,2,3,12,0
1000119204,6,15,3,6,6,24,0
1000119205,2,15,2,4,9,14,0
1000119206,5,12,8,3,1,29,0
1000119207,3,19,2,9,8,23,0
1000119208,3,17,1,8,8,7,0
1000119209,3,15,5,2,8,15,0
1000119210,4,13,6,1,6,27,0
1000119211,4,19,8,9,2,10,0
1000119212,1,17,5,8,4,3,0
1000119213,6,19,4,9,6,28,0
1000119214,5,22,7,9,6,1,0
1000119215,5,19,9,5,5,3,0
1000119216,2,16,4,4,8,18,0
1000119217,1,10,6,1,3,21,0
1000119218,4,12,4,6,2,6,0
1000119219,6,17,6,4,7,28,0
1000119220,3,19,8,4,7,14,0
1000119221,6,17,6,8,3,21,0
1000119222,3,25,9,7,9,5,0
1000119223,6,19,9,5,5,29,0
1000119224,3,14,1,5,8,25,0
1000119225,3,6,3,1,2,28,0
1000119226,5,14,9,4,1,12,0
1000119227,4,17,6,6,5,15,0
1000119228,2,17,8,6,3,3,0
1000119229,5,17,1,9,7,12,0
1000119230,2,16,6,2,8,16,0
1000119231,3,7,1,2,4,25,0
1000119232,5,16,8,2,6,13,0
1000119233,3,13,9,2,2,3,0
1000119234,4,24,9,9,6,24,0
1000119235,4,10,6,1,3,15,0
1000119236,1,12,5,1,6,13,0
1000119237,6,15,1,9,5,24,0
1000119238,5,20,7,9,4,23,0
1000119239,4,10,1,2,7,1,0
1000119240,4,9,2,1,6,16,0
1000119241,6,14,1,8,5,26,0
1000119242,3,12,4,3,5,16,0
1000119243,4,10,2,1,7,28,0
1000119244,4,13,7,4,2,12,0
1000119245,1,17,6,9,2,16,0
1000119246,1,15,3,9,3,28,0
1000119247,6,16,2,7,7,9,0
1000119248,1,17,6,7,4,19,0
1000119249,6,11,6,3,2,29,0
1000119250,1,9,3,5,1,8,0
1000119251,3,22,9,4,9,15,0
1000119252,2,11,9,1,1,15,0
1000119253,5,24,8,7,9,22,0
1000119254,6,14,3,3,8,17,0
1000119255,6,21,8,6,7,18,0
1000119256,5,21,9,8,4,27,0
1000119257,2,7,1,4,2,22,0
1000119258,3,17,7,7,3,27,0
1000119259,4,11,3,7,1,17,0
1000119260,2,18,6,9,3,7,0
1000119261,4,14,3,6,5,7,0
1000119262,6,16,1,9,6,12,0
1000119263,5,15,9,4,2,24,0
1000119264,3,9,2,2,5,2,0
1000119265,6,21,8,4,9,20,0
1000119266,3,16,5,8,3,14,0
1000119267,2,18,5,5,8,17,0
1000119268,1,8,2,1,5,26,0
1000119269,1,18,3,9,6,29,0
1000119270,5,11,2,8,1,14,0
1000119271,5,16,1,8,7,18,0
1000119272,2,10,6,2,2,21,0
1000119273,4,18,7,7,4,13,0
1000119274,6,9,1,3,5,6,0
1000119275,5,17,4,5,8,14,0
1000119276,6,13,2,4,7,13,0
1000119277,6,10,7,2,1,26,0
1000119278,1,13,1,5,7,1,0
1000119279,5,16,7,6,3,2,0
1000119280,2,15,3,4,8,12,0
1000119281,5,11,2,2,7,14,0
1000119282,5,24,8,8,8,3,0
1000119283,6,12,1,4,7,9,0
1000119284,2,17,6,4,7,3,0
1000119285,3,9,1,3,5,19,0
1000119286,6,12,9,1,2,1,0
1000119287,6,19,2,9,8,17,0
1000119288,2,15,1,9,5,4,0
1000119289,1,17,7,7,3,18,0
1000119290,2,22,9,6,7,15,0
1000119291,3,11,2,2,7,4,0
1000119292,4,14,9,2,3,18,0
1000119293,2,5,2,1,2,14,0
1000119294,4,24,6,9,9,15,0
1000119295,2,14,5,1,8,19,0
1000119296,4,21,9,6,6,13,0
1000119297,3,14,5,2,7,6,0
1000119298,1,20,7,7,6,9,0
1000119299,5,17,8,3,6,28,0
1000119300,4,15,2,4,9,2,0
1000119301,6,15,7,7,1,17,0
1000119302,6,6,2,3,1,26,0
1000119303,5,9,1,4,4,15,0
1000119304,1,22,8,5,9,26,0
1000119305,4,11,6,3,2,8,0
1000119306,2,16,6,7,3,19,0
1000119307,1,14,3,6,5,15,0
1000119308,4,15,7,5,3,24,0
1000119309,5,17,9,6,2,2,0
1000119310,2,16,5,3,8,17,0
1000119311,5,21,9,3,9,10,0
1000119312,6,18,1,8,9,22,0
1000119313,4,15,4,6,5,16,0
1000119314,1,17,3,7,7,29,0
1000119315,5,21,8,7,6,17,0
1000119316,6,14,6,1,7,10,0
1000119317,6,11,7,3,1,24,0
1000119318,2,15,4,9,2,16,0
1000119319,2,21,9,6,6,16,0
1000119320,2,15,8,3,4,15,0
1000119321,6,18,8,4,6,9,0
1000119322,6,25,7,9,9,7,0
1000119323,3,8,1,1,6,14,0
1000119324,5,9,4,3,2,18,0
1000119325,6,15,7,7,1,25,0
1000119326,1,19,6,5,8,26,0
1000119327,4,20,7,5,8,14,0
1000119328,4,14,4,9,1,13,0
1000119329,1,13,5,3,5,24,0
1000119330,4,19,5,6,8,26,0
1000119331,5,13,7,1,5,16,0
1000119332,1,19,3,8,8,22,0
1000119333,1,9,3,1,5,23,0
1000119334,1,13,9,2,2,1,0
1000119335,6,21,8,8,5,22,0
1000119336,6,19,7,8,4,27,0
1000119337,3,24,9,6,9,13,0
1000119338,6,15,1,9,5,13,0
1000119339,5,12,9,1,2,6,0
1000119340,6,18,8,7,3,30,0
1000119341,1,20,8,7,5,29,0
1000119342,3,13,5,2,6,6,0
1000119343,5,16,9,1,6,2,0
1000119344,3,13,5,5,3,30,0
1000119345,2,13,4,8,1,29,0
1000119346,2,10,1,2,7,23,0
1000119347,4,10,6,3,1,4,0
1000119348,1,11,5,1,5,24,0
1000119349,4,16,5,5,6,5,0
1000119350,5,10,2,5,3,9,0
1000119351,6,10,2,7,1,1,0
1000119352,6,10,3,3,4,25,0
1000119353,2,14,7,6,1,29,0
1000119354,4,10,2,6,2,10,0
1000119355,1,16,5,5,6,15,0
1000119356,3,13,3,2,8,29,0
1000119357,4,22,9,7,6,6,0
1000119358,2,17,2,9,6,5,0
1000119359,1,14,5,6,3,15,0
1000119360,1,5,1,1,3,16,0
1000119361,1,14,3,8,3,11,0
1000119362,5,19,7,8,4,6,0
1000119363,1,10,2,5,3,21,0
1000119364,5,12,5,4,3,2,0
1000119365,6,13,7,3,3,9,0
1000119366,4,15,7,1,7,11,0
1000119367,6,9,6,2,1,27,0
1000119368,1,17,4,8,5,16,0
1000119369,5,16,1,8,7,15,0
1000119370,3,19,3,7,9,6,0
1000119371,3,14,4,7,3,13,0
1000119372,3,16,3,7,6,29,0
1000119373,4,14,1,5,8,17,0
1000119374,2,23,7,8,8,28,0
1000119375,1,15,2,5,8,16,0
1000119376,5,18,7,9,2,18,0
1000119377,6,17,6,6,5,29,0
1000119378,6,17,6,4,7,25,0
1000119379,6,22,8,8,6,14,0
1000119380,5,22,9,7,6,17,0
1000119381,2,16,9,5,2,7,0
1000119382,2,19,8,5,6,5,0
1000119383,6,20,5,7,8,18,0
1000119384,2,10,4,2,4,21,0
1000119385,1,13,2,2,9,6,0
1000119386,1,13,2,2,9,18,0
1000119387,5,14,2,3,9,21,0
1000119388,1,22,7,9,6,28,0
1000119389,2,19,2,8,9,24,0
1000119390,4,12,5,2,5,26,0
1000119391,1,8,3,1,4,10,0
1000119392,6,6,2,1,3,12,0
1000119393,2,24,8,9,7,22,0
1000119394,5,17,8,5,4,26,0
1000119395,1,16,7,2,7,25,0
1000119396,3,9,3,2,4,7,0
1000119397,6,20,8,9,3,3,0
1000119398,1,21,8,9,4,13,0
1000119399,2,8,2,1,5,27,0
1000119400,4,15,7,7,1,21,0
1000119401,3,23,6,8,9,19,0
1000119402,2,13,3,8,2,13,0
1000119403,4,17,8,8,1,22,0
1000119404,4,19,6,9,4,16,0
1000119405,5,20,7,4,9,23,0
1000119406,6,17,9,1,7,20,0
1000119407,3,18,7,5,6,26,0
1000119408,4,8,4,1,3,28,0
1000119409,6,9,2,5,2,24,0
1000119410,3,15,9,5,1,11,0
1000119411,6,7,2,4,1,26,0
1000119412,6,13,4,5,4,14,0
1000119413,1,14,6,3,5,26,0
1000119414,1,11,7,3,1,23,0
1000119415,6,19,3,7,9,8,0
1000119416,6,10,2,5,3,19,0
1000119417,3,16,2,6,8,11,0
1000119418,5,10,2,4,4,4,0
1000119419,4,15,7,3,5,27,0
1000119420,5,10,4,5,1,4,0
1000119421,2,24,7,8,9,27,0
1000119422,1,10,3,4,3,4,0
1000119423,3,14,7,3,4,6,0
1000119424,4,19,6,5,8,7,0
1000119425,5,4,2,1,1,7,0
1000119426,2,13,1,4,8,25,0
1000119427,6,15,5,6,4,6,0
1000119428,4,18,3,8,7,26,0
1000119429,6,14,1,7,6,18,0
1000119430,3,17,9,5,3,29,0
1000119431,3,15,9,4,2,21,0
1000119432,4,16,6,3,7,28,0
1000119433,3,10,4,2,4,24,0
1000119434,3,14,8,3,3,10,0
1000119435,4,16,3,5,8,1,0
1000119436,6,17,4,4,9,27,0
1000119437,3,14,5,5,4,26,0
1000119438,2,15,4,3,8,11,0
1000119439,3,18,6,9,3,8,0
1000119440,4,24,9,6,9,11,0
1000119441,5,12,8,3,1,3,0
1000119442,4,17,4,6,7,6,0
1000119443,4,19,5,6,8,1,0
1000119444,3,17,4,8,5,28,0
1000119445,3,6,2,2,2,21,0
1000119446,2,19,9,6,4,26,0
1000119447,2,11,1,9,1,15,0
1000119448,6,24,9,7,8,30,0
1000119449,2,23,9,7,7,16,0
1000119450,5,18,7,3,8,22,0
1000119451,5,17,9,1,7,13,0
1000119452,4,13,4,8,1,18,0
1000119453,3,22,4,9,9,9,0
1000119454,1,18,7,6,5,11,0
1000119455,6,18,5,9,4,6,0
1000119456,2,15,5,6,4,20,0
1000119457,2,15,6,7,2,15,0
1000119458,2,17,8,4,5,9,0
1000119459,5,23,8,6,9,12,0
1000119460,1,6,4,1,1,9,0
1000119461,1,13,8,2,3,25,0
1000119462,1,9,1,5,3,12,0
1000119463,1,18,6,3,9,30,0
1000119464,1,14,8,3,3,1,0
1000119465,6,16,5,6,5,23,0
1000119466,1,11,9,1,1,24,0
1000119467,2,6,2,3,1,8,0
1000119468,4,10,8,1,1,23,0
1000119469,2,22,5,8,9,24,0
1000119470,6,8,5,2,1,9,0
1000119471,3,14,8,1,5,11,0
1000119472,3,13,4,3,6,3,0
1000119473,4,20,4,9,7,27,0
1000119474,1,18,4,7,7,16,0
1000119475,6,17,1,8,8,18,0
1000119476,2,7,2,1,4,27,0
1000119477,5,11,2,8,1,18,0
1000119478,2,6,1,2,3,29,0
1000119479,4,21,8,8,5,19,0
1000119480,6,19,2,9,8,2,0
1000119481,5,16,5,4,7,7,0
1000119482,3,18,3,6,9,28,0
1000119483,6,21,6,9,6,11,0
1000119484,3,20,9,3,8,6,0
1000119485,6,21,9,5,7,26,0
1000119486,4,15,5,5,5,13,0
1000119487,4,16,3,9,4,11,0
1000119488,2,13,4,1,8,6,0
1000119489,3,11,4,4,3,2,0
1000119490,6,19,6,8,5,30,0
1000119491,1,5,2,2,1,28,0
1000119492,3,13,7,1,5,3,0
1000119493,5,19,9,7,3,5,0
1000119494,4,14,6,2,6,29,0
1000119495,4,17,7,3,7,4,0
1000119496,1,12,2,1,9,26,0
1000119497,1,6,2,1,3,25,0
1000119498,5,22,8,7,7,11,0
1000119499,3,16,3,8,5,13,0
1000119500,1,15,4,6,5,19,0
1000119501,4,18,5,6,7,20,0
1000119502,4,11,5,4,2,7,0
1000119503,3,17,9,4,4,28,0
1000119504,4,9,1,6,2,13,0
1000119505,6,17,2,7,8,3,0
1000119506,4,7,2,1,4,15,0
1000119507,5,19,8,8,3,5,0
1000119508,5,14,3,4,7,14,0
1000119509,1,11,3,3,5,29,0
1000119510,6,24,8,9,7,23,0
1000119511,1,15,2,7,6,12,0
1000119512,1,21,5,9,7,29,0
1000119513,3,7,3,3,1,1,0
1000119514,2,13,1,6,6,8,0
1000119515,3,19,7,6,6,28,0
1000119516,6,14,5,3,6,13,0
1000119517,2,17,6,2,9,6,0
1000119518,6,12,3,4,5,11,0
1000119519,5,18,4,8,6,3,0
1000119520,2,18,8,8,2,11,0
1000119521,6,14,7,4,3,5,0
1000119522,2,26,9,8,9,28,0
1000119523,4,24,8,7,9,20,0
1000119524,1,15,5,2,8,26,0
1000119525,5,4,1,2,1,29,0
1000119526,4,14,1,4,9,3,0
1000119527,3,10,4,2,4,6,0
1000119528,6,15,8,6,1,11,0
1000119529,6,16,2,5,9,2,0
1000119530,5,21,4,9,8,29,0
1000119531,4,20,6,7,7,30,0
1000119532,6,16,5,4,7,29,0
1000119533,2,9,2,4,3,24,0
1000119534,6,19,8,6,5,11,0
1000119535,6,12,2,5,5,29,0
1000119536,5,16,2,9,5,1,0
1000119537,6,13,2,4,7,19,0
1000119538,1,9,6,2,1,18,0
1000119539,4,24,8,7,9,14,0
1000119540,1,15,6,8,1,5,0
1000119541,5,16,7,6,3,22,0
1000119542,4,17,3,7,7,15,0
1000119543,3,9,6,2,1,24,0
1000119544,4,15,6,1,8,21,0
1000119545,3,8,1,5,2,28,0
1000119546,5,15,9,1,5,2,0
1000119547,3,18,9,7,2,8,0
1000119548,6,20,9,9,2,26,0
1000119549,4,12,3,3,6,27,0
1000119550,5,20,5,9,6,15,0
1000119551,3,25,8,9,8,24,0
1000119552,4,14,8,1,5,29,0
1000119553,1,8,3,2,3,12,0
1000119554,1,14,8,4,2,3,0
1000119555,4,12,1,6,5,2,0
1000119556,6,17,3,8,6,2,0
1000119557,5,12,6,4,2,5,0
1000119558,4,8,1,5,2,21,0
1000119559,2,11,7,3,1,12,0
1000119560,2,21,8,6,7,26,0
1000119561,3,12,4,7,1,18,0
1000119562,5,18,6,7,5,14,0
1000119563,3,22,8,7,7,10,0
1000119564,4,14,9,3,2,29,0
1000119565,3,16,9,5,2,26,0
1000119566,6,11,8,2,1,12,0
1000119567,2,22,7,8,7,1,0
1000119568,5,19,3,9,7,12,0
1000119569,2,8,1,2,5,8,0
1000119570,4,9,2,3,4,29,0
1000119571,6,11,3,4,4,30,0
1000119572,3,17,8,3,6,3,0
1000119573,3,15,4,7,4,15,0
1000119574,3,17,9,1,7,9,0
1000119575,4,3,1,1,1,8,0
1000119576,3,17,1,8,8,29,0
1000119577,6,12,6,2,4,18,0
1000119578,2,19,9,6,4,4,0
1000119579,3,12,5,4,3,14,0
1000119580,5,22,8,7,7,25,0
1000119581,3,13,2,4,7,14,0
1000119582,2,16,9,1,6,4,0
1000119583,5,19,9,5,5,20,0
1000119584,4,12,6,4,2,5,0
1000119585,2,8,1,5,2,1,0
1000119586,4,22,6,9,7,23,0
1000119587,4,17,6,6,5,9,0
1000119588,1,18,2,8,8,13,0
1000119589,1,12,5,3,4,8,0
1000119590,6,9,1,5,3,22,0
1000119591,6,23,9,7,7,4,0
1000119592,4,6,3,2,1,19,0
1000119593,4,17,8,6,3,23,0
1000119594,3,19,8,5,6,17,0
1000119595,6,9,1,1,7,18,0
1000119596,4,14,3,7,4,1,0
1000119597,3,13,2,6,5,9,0
1000119598,1,19,6,8,5,4,0
1000119599,6,22,8,7,7,27,0
1000119600,1,15,8,2,5,24,0
1000119601,6,15,5,3,7,11,0
1000119602,1,19,5,7,7,11,0
1000119603,5,14,4,2,8,25,0
1000119604,6,19,5,8,6,15,0
1000119605,2,19,7,3,9,2,0
1000119606,4,16,1,8,7,12,0
1000119607,1,18,7,5,6,9,0
1000119608,2,6,1,2,3,17,0
1000119609,4,18,4,7,7,11,0
1000119610,2,11,1,1,9,19,0
1000119611,3,11,8,1,2,7,0
1000119612,2,18,6,8,4,20,0
1000119613,5,22,6,8,8,19,0
1000119614,2,11,6,1,4,29,0
1000119615,5,16,4,7,5,6,0
1000119616,3,13,7,4,2,28,0
1000119617,4,17,5,7,5,1,0
1000119618,6,8,1,3,4,7,0
1000119619,2,20,7,7,6,30,0
1000119620,1,17,1,8,8,13,0
1000119621,6,20,9,9,2,17,0
1000119622,6,15,3,6,6,19,0
1000119623,4,14,2,9,3,16,0
1000119624,3,22,8,8,6,24,0
1000119625,5,11,6,3,2,25,0
1000119626,5,5,1,2,2,28,0
1000119627,6,21,9,9,3,25,0
1000119628,4,22,4,9,9,13,0
1000119629,1,10,3,5,2,12,0
1000119630,2,18,4,5,9,25,0
1000119631,1,14,3,3,8,17,0
1000119632,6,10,5,4,1,7,0
1000119633,6,27,9,9,9,19,0
1000119634,2,15,7,2,6,20,0
1000119635,1,18,3,8,7,12,0
1000119636,4,16,6,7,3,8,0
1000119637,2,15,2,5,8,21,0
1000119638,1,10,1,3,6,23,0
1000119639,6,16,7,7,2,17,0
1000119640,4,18,7,7,4,26,0
1000119641,2,20,5,8,7,22,0
1000119642,6,16,1,9,6,28,0
1000119643,5,13,5,5,3,16,0
1000119644,2,21,9,3,9,23,0
1000119645,2,13,3,1,9,8,0
1000119646,6,12,2,2,8,28,0
1000119647,2,19,7,8,4,28,0
1000119648,4,6,1,3,2,18,0
1000119649,1,17,5,9,3,5,0
1000119650,2,16,9,4,3,17,0
1000119651,6,10,1,3,6,7,0
1000119652,6,11,1,6,4,17,0
1000119653,1,20,7,7,6,9,0
1000119654,6,23,9,6,8,22,0
1000119655,1,9,5,1,3,10,0
1000119656,1,15,5,4,6,26,0
1000119657,2,16,4,5,7,23,0
1000119658,4,16,4,9,3,23,0
1000119659,4,20,7,6,7,12,0
1000119660,6,18,9,4,5,6,0
1000119661,2,10,2,3,5,15,0
1000119662,5,13,3,3,7,22,0
1000119663,2,17,2,7,8,24,0
1000119664,3,11,1,2,8,23,0
1000119665,2,12,4,3,5,6,0
1000119666,4,17,4,6,7,17,0
1000119667,1,15,6,2,7,2,0
1000119668,6,18,4,5,9,22,0
1000119669,5,11,7,3,1,7,0
1000119670,1,8,1,2,5,14,0
1000119671,3,14,2,9,3,25,0
1000119672,1,12,5,2,5,24,0
1000119673,2,9,6,2,1,30,0
1000119674,4,18,5,8,5,8,0
1000119675,6,20,7,5,8,5,0
1000119676,4,19,6,4,9,7,0
1000119677,3,7,2,4,1,14,0
1000119678,4,10,1,7,2,18,0
1000119679,4,21,9,6,6,1,0
1000119680,2,14,3,7,4,30,0
1000119681,3,14,4,7,3,4,0
1000119682,2,22,7,8,7,30,0
1000119683,4,6,2,1,3,18,0
1000119684,4,18,9,2,7,3,0
1000119685,6,9,1,1,7,20,0
1000119686,2,16,2,5,9,29,0
1000119687,5,10,2,3,5,5,0
1000119688,4,11,1,5,5,11,0
1000119689,2,6,2,3,1,25,0
1000119690,1,9,4,2,3,5,0
1000119691,5,19,1,9,9,25,0
1000119692,4,16,7,2,7,5,0
1000119693,1,16,3,5,8,27,0
1000119694,4,16,5,4,7,25,0
1000119695,3,26,9,8,9,15,0
1000119696,2,21,8,9,4,7,0
1000119697,4,15,8,6,1,5,0
1000119698,3,17,9,4,4,8,0
1000119699,5,11,3,5,3,16,0
1000119700,5,11,1,3,7,20,0
1000119701,3,7,2,2,3,22,0
1000119702,1,12,6,1,5,18,0
1000119703,2,15,6,2,7,18,0
1000119704,2,21,9,9,3,3,0
1000119705,1,21,6,6,9,24,0
1000119706,4,14,4,4,6,22,0
1000119707,5,13,8,2,3,4,0
1000119708,3,14,1,9,4,27,0
1000119709,3,12,3,2,7,15,0
1000119710,4,23,9,8,6,9,0
1000119711,3,7,3,3,1,3,0
1000119712,5,15,5,9,1,6,0
1000119713,6,14,4,2,8,18,0
1000119714,4,13,2,2,9,21,0
1000119715,1,11,5,4,2,22,0
1000119716,4,15,7,1,7,26,0
1000119717,6,17,1,7,9,30,0
1000119718,2,15,2,6,7,13,0
1000119719,6,13,2,9,2,13,0
1000119720,4,22,8,8,6,25,0
1000119721,3,12,3,1,8,11,0
1000119722,6,14,4,9,1,7,0
1000119723,2,17,8,2,7,7,0
1000119724,3,17,6,6,5,15,0
1000119725,2,14,9,4,1,10,0
1000119726,3,20,9,6,5,18,0
1000119727,3,16,7,4,5,15,0
1000119728,6,15,3,8,4,28,0
1000119729,1,23,8,6,9,30,0
1000119730,4,16,1,9,6,25,0
1000119731,4,11,5,3,3,30,0
1000119732,4,12,3,3,6,3,0
1000119733,6,18,8,9,1,29,0
1000119734,6,21,7,9,5,8,0
1000119735,1,13,4,7,2,25,0
1000119736,5,16,6,7,3,30,0
1000119737,6,17,4,4,9,7,0
1000119738,4,13,8,2,3,16,0
1000119739,5,17,8,2,7,7,0
1000119740,4,22,5,9,8,17,0
1000119741,6,14,6,6,2,30,0
1000119742,2,13,6,6,1,20,0
1000119743,3,9,6,2,1,18,0
1000119744,2,27,9,9,9,1,0
1000119745,6,9,2,3,4,11,0
1000119746,5,17,6,2,9,5,0
1000119747,2,15,4,4,7,14,0
1000119748,6,13,3,1,9,8,0
1000119749,3,16,1,9,6,14,0
1000119750,1,14,1,6,7,8,0
1000119751,2,11,4,6,1,21,0
1000119752,1,19,9,2,8,5,0
1000119753,6,11,1,3,7,8,0
1000119754,3,15,5,9,1,24,0
1000119755,2,20,7,6,7,16,0
1000119756,5,15,2,9,4,18,0
1000119757,1,10,4,2,4,8,0
1000119758,5,12,6,3,3,23,0
1000119759,2,23,6,9,8,12,0
1000119760,1,19,9,5,5,12,0
1000119761,3,16,3,6,7,18,0
1000119762,1,18,9,4,5,7,0
1000119763,2,7,4,2,1,10,0
1000119764,3,13,1,5,7,8,0
1000119765,3,14,1,4,9,13,0
1000119766,3,17,1,9,7,28,0
1000119767,6,16,5,3,8,8,0
1000119768,5,16,4,3,9,21,0
1000119769,5,19,2,8,9,3,0
1000119770,1,13,7,4,2,16,0
1000119771,2,5,1,1,3,13,0
1000119772,5,18,4,7,7,15,0
1000119773,5,14,2,7,5,20,0
1000119774,6,17,2,8,7,13,0
1000119775,4,16,7,5,4,22,0
1000119776,2,13,9,2,2,28,0
1000119777,1,9,1,2,6,20,0
1000119778,6,16,8,4,4,20,0
1000119779,3,10,4,3,3,8,0
1000119780,3,16,7,1,8,11,0
1000119781,6,16,5,7,4,9,0
1000119782,6,14,6,5,3,9,0
1000119783,6,16,5,6,5,12,0
1000119784,1,14,5,7,2,28,0
1000119785,1,9,3,1,5,22,0
1000119786,3,9,5,3,1,29,0
1000119787,1,15,1,5,9,2,0
1000119788,4,14,4,6,4,26,0
1000119789,6,25,8,8,9,10,0
1000119790,4,6,3,1,2,19,0
1000119791,5,14,8,2,4,7,0
1000119792,1,14,2,4,8,30,0
1000119793,6,5,1,2,2,9,0
1000119794,3,9,4,2,3,14,0
1000119795,6,19,6,7,6,4,0
1000119796,3,9,1,1,7,18,0
1000119797,5,12,5,3,4,7,0
1000119798,5,11,3,6,2,9,0
1000119799,3,17,8,8,1,2,0
1000119800,1,21,4,8,9,1,0
1000119801,6,11,1,3,7,25,0
1000119802,2,16,6,8,2,18,0
1000119803,3,7,2,4,1,6,0
1000119804,3,17,2,9,6,30,0
1000119805,6,20,9,3,8,30,0
1000119806,5,25,7,9,9,7,0
1000119807,1,13,2,8,3,14,0
1000119808,2,15,5,4,6,28,0
1000119809,5,17,7,9,1,8,0
1000119810,5,18,5,6,7,30,0
1000119811,6,15,5,5,5,29,0
1000119812,6,11,1,4,6,9,0
1000119813,2,11,8,1,2,11,0
1000119814,6,12,3,2,7,3,0
1000119815,5,23,9,8,6,15,0
1000119816,4,11,8,1,2,7,0
1000119817,4,11,5,1,5,20,0
1000119818,3,12,1,7,4,27,0
1000119819,1,17,8,4,5,3,0
1000119820,4,12,3,4,5,1,0
1000119821,4,11,7,1,3,21,0
1000119822,5,9,4,2,3,15,0
1000119823,2,10,5,1,4,21,0
1000119824,3,18,2,7,9,4,0
1000119825,3,17,8,1,8,20,0
1000119826,4,7,2,2,3,23,0
1000119827,6,22,8,8,6,3,0
1000119828,6,19,8,3,8,1,0
1000119829,5,13,9,3,1,14,0
1000119830,1,14,2,7,5,6,0
1000119831,6,16,4,3,9,25,0
1000119832,2,17,6,7,4,4,0
1000119833,2,21,8,5,8,15,0
1000119834,3,13,8,3,2,1,0
1000119835,2,6,4,1,1,10,0
1000119836,3,10,7,1,2,26,0
1000119837,2,19,7,5,7,4,0
1000119838,6,7,3,3,1,23,0
1000119839,5,15,6,4,5,28,0
1000119840,1,7,2,1,4,1,0
1000119841,3,18,9,5,4,5,0
1000119842,1,20,9,5,6,15,0
1000119843,1,11,5,5,1,4,0
1000119844,3,15,5,9,1,25,0
1000119845,5,17,8,7,2,17,0
1000119846,4,17,7,3,7,5,0
1000119847,3,15,4,9,2,22,0
1000119848,3,15,9,1,5,5,0
1000119849,6,16,1,6,9,19,0
1000119850,2,20,4,8,8,25,0
1000119851,2,19,7,6,6,12,0
1000119852,5,3,1,1,1,26,0
1000119853,3,14,8,5,1,20,0
1000119854,3,6,1,3,2,10,0
1000119855,2,10,5,3,2,26,0
1000119856,5,13,6,2,5,12,0
1000119857,3,4,1,1,2,27,0
1000119858,1,13,4,7,2,19,0
1000119859,6,27,9,9,9,25,0
1000119860,1,17,7,2,8,22,0
1000119861,4,19,9,8,2,27,0
1000119862,2,17,5,7,5,1,0
1000119863,6,6,2,3,1,7,0
1000119864,1,12,1,5,6,23,0
1000119865,6,8,2,4,2,1,0
1000119866,5,21,9,6,6,21,0
1000119867,5,11,4,1,6,17,0
1000119868,4,13,7,4,2,6,0
1000119869,1,18,7,6,5,1,0
1000119870,6,17,7,3,7,1,0
1000119871,1,12,4,3,5,11,0
1000119872,4,18,4,9,5,19,0
1000119873,1,19,6,9,4,17,0
1000119874,1,7,1,3,3,12,0
1000119875,2,14,4,4,6,22,0
1000119876,4,20,8,3,9,5,0
1000119877,6,8,2,5,1,14,0
1000119878,1,18,9,3,6,12,0
1000119879,5,12,4,6,2,7,0
1000119880,3,18,6,6,6,22,0
1000119881,6,11,3,3,5,24,0
1000119882,3,12,4,2,6,9,0
1000119883,4,7,4,2,1,16,0
1000119884,3,14,5,4,5,14,0
1000119885,4,20,2,9,9,5,0
1000119886,1,17,4,6,7,29,0
1000119887,3,19,6,8,5,8,0
1000119888,5,20,8,7,5,9,0
1000119889,5,17,8,7,2,12,0
1000119890,2,15,6,8,1,22,0
1000119891,6,9,1,2,6,20,0
1000119892,5,10,4,3,3,11,0
1000119893,6,7,3,2,2,6,0
1000119894,5,18,3,9,6,28,0
1000119895,6,10,8,1,1,22,0
1000119896,4,17,9,5,3,21,0
1000119897,2,17,8,3,6,6,0
1000119898,2,14,8,2,4,20,0
1000119899,3,12,4,4,4,16,0
1000119900,4,17,8,8,1,8,0
1000119901,6,13,5,5,3,2,0
1000119902,4,20,5,6,9,1,0
1000119903,1,12,9,1,2,13,0
1000119904,6,17,6,4,7,11,0
1000119905,5,19,9,2,8,30,0
1000119906,3,16,6,6,4,30,0
1000119907,4,14,3,8,3,9,0
1000119908,3,9,1,2,6,3,0
1000119909,5,10,3,5,2,13,0
1000119910,2,21,4,9,8,12,0
1000119911,3,14,1,7,6,18,0
1000119912,3,16,4,5,7,12,0
1000119913,3,9,1,3,5,21,0
1000119914,2,16,4,8,4,1,0
1000119915,6,11,6,4,1,30,0
1000119916,1,12,4,6,2,30,0
1000119917,3,24,8,8,8,28,0
1000119918,3,17,5,5,7,24,0
1000119919,3,16,8,3,5,3,0
1000119920,2,15,2,4,9,9,0
1000119921,6,20,9,3,8,6,0
1000119922,2,13,3,7,3,4,0
1000119923,2,20,7,9,4,14,0
1000119924,6,14,5,5,4,27,0
1000119925,1,10,1,8,1,25,0
1000119926,1,22,7,6,9,2,0
